system:index,ST_B10_max,ST_B10_mean,ST_B10_min,date,.geo
2020_04_11,309.76,307.1448779,304.96,11-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_12,314.36,312.01125,309,12-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_13,314.86,312.2933573,310.46,13-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_14,314.26,312.5864646,309.68,14-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_15,316.96,313.4846319,308.8,15-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_16,-9999,-9999,-9999,16-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_17,316.14,312.9926389,309.72,17-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_18,310.72,308.0172535,306.44,18-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_19,314.94,310.6023455,304.02,19-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_20,313.92,311.6898053,309.9,20-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_21,314.3,312.0602817,309.56,21-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_22,313.66,307.890687,302.86,22-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_23,310.62,306.9806864,305.56,23-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_24,-9999,-9999,-9999,24-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_25,-9999,-9999,-9999,25-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_26,310.34,307.3427678,302.98,26-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_27,-9999,-9999,-9999,27-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_28,310.14,306.1400426,300.8,28-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_29,-9999,-9999,-9999,29-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_30,307.34,305.208312,301.96,30-04-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_01,311.82,307.8691726,300.76,01-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_02,-9999,-9999,-9999,02-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_03,310.06,306.3925402,300.78,03-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_04,305.7,301.6648636,296.46,04-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_05,313.98,311.9332642,309.1,05-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_06,-9999,-9999,-9999,06-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_07,-9999,-9999,-9999,07-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_08,-9999,-9999,-9999,08-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_09,308.16,306.7760947,303.7,09-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_10,302.96,299.5922159,297.18,10-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_11,-9999,-9999,-9999,11-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_12,314.22,307.413349,296.4,12-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_13,310.46,305.8240337,302.52,13-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_14,311.44,306.7421755,297.74,14-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_15,312.1,308.2076147,303.94,15-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_16,-9999,-9999,-9999,16-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_17,310.88,305.56611,302.9,17-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_18,-9999,-9999,-9999,18-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_19,307.54,303.1658964,297.06,19-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_20,-9999,-9999,-9999,20-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_21,-9999,-9999,-9999,21-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_22,308.72,306.144145,301.84,22-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_23,-9999,-9999,-9999,23-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_24,312.14,309.9694786,307.66,24-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_25,305.3,301.3404081,299.84,25-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_26,312.06,309.5892921,306.7,26-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_27,-9999,-9999,-9999,27-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_28,306.7,303.1967684,297.94,28-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_29,306.84,303.4698826,298.94,29-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_30,-9999,-9999,-9999,30-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_31,308.56,306.1078011,301.9,31-05-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_01,-9999,-9999,-9999,01-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_02,-9999,-9999,-9999,02-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_03,-9999,-9999,-9999,03-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_04,-9999,-9999,-9999,04-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_05,-9999,-9999,-9999,05-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_06,308.88,305.2752898,297.56,06-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_07,-9999,-9999,-9999,07-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_08,308.62,304.849347,294.62,08-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_09,-9999,-9999,-9999,09-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_10,-9999,-9999,-9999,10-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_11,-9999,-9999,-9999,11-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_12,-9999,-9999,-9999,12-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_13,-9999,-9999,-9999,13-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_14,-9999,-9999,-9999,14-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_15,-9999,-9999,-9999,15-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_16,-9999,-9999,-9999,16-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_17,-9999,-9999,-9999,17-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_18,-9999,-9999,-9999,18-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_19,-9999,-9999,-9999,19-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_20,-9999,-9999,-9999,20-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_21,-9999,-9999,-9999,21-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_22,-9999,-9999,-9999,22-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_23,-9999,-9999,-9999,23-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_24,301.44,301,300.56,24-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_25,308.4,305.5014093,300.36,25-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_26,-9999,-9999,-9999,26-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_27,-9999,-9999,-9999,27-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_28,-9999,-9999,-9999,28-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_29,-9999,-9999,-9999,29-06-2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
