system:index,date,tropospheric_NO2_column_number_density,.geo
20210129T075246_20210131T010446,2021-01-29,5.500971027117313E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130T073349_20210201T010250,2021-01-30,6.573256968236504E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131T071452_20210202T005018,2021-01-31,6.0277944309212706E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201T065555_20210203T150016,2021-02-01,6.706263531406087E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202T063658_20210203T235906,2021-02-02,5.309219936748703E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203T075932_20210205T012954,2021-02-03,4.692060665258874E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204T074035_20210206T005010,2021-02-04,5.842768247124863E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205T072139_20210207T003500,2021-02-05,6.551274664536907E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206T070242_20210208T004132,2021-02-06,7.105675378867245E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210207T064346_20210209T000247,2021-02-07,5.633448871047195E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210208T062449_20210209T233640,2021-02-08,5.909767167076997E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210209T074723_20210211T010213,2021-02-09,5.544883507804217E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210210T072827_20210212T004818,2021-02-10,7.739524565501543E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210211T070931_20210213T005515,2021-02-11,7.270314163038786E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210212T065035_20210214T004114,2021-02-12,8.900771552797443E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210213T063139_20210215T000604,2021-02-13,8.329904833185587E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210214T075413_20210216T010517,2021-02-14,6.810794632129296E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210215T073518_20210217T012002,2021-02-15,7.685370358571325E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210216T071622_20210218T010949,2021-02-16,9.290420948932018E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210217T065726_20210219T003551,2021-02-17,9.414298640021637E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210218T063830_20210220T001430,2021-02-18,5.284810601705306E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210220T074210_20210222T012803,2021-02-20,4.056193220377629E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210221T072314_20210223T011338,2021-02-21,4.2629889693461225E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210222T070419_20210224T004552,2021-02-22,3.7143047668585645E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210223T064523_20210225T000636,2021-02-23,5.0820658935044E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210224T062628_20210225T235632,2021-02-24,5.187815781734682E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210225T074903_20210227T005026,2021-02-25,7.042872104053718E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210226T073007_20210228T010933,2021-02-26,7.44579036897699E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210227T071112_20210301T002824,2021-02-27,9.930541995245279E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210228T065217_20210302T001129,2021-02-28,6.324778218415551E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210301T063322_20210303T000259,2021-03-01,5.97316238855087E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210302T075557_20210304T010114,2021-03-02,4.928560166933492E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210303T073702_20210305T010540,2021-03-03,5.8596785248428224E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210304T071807_20210307T111425,2021-03-04,5.8981803206068086E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210305T065912_20210307T002400,2021-03-05,7.104170424873538E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210306T064017_20210307T234454,2021-03-06,6.0727035227808466E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210307T080252_20210309T012453,2021-03-07,5.856568997684849E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210308T074357_20210310T005432,2021-03-08,6.927115460155921E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210309T072502_20210311T010609,2021-03-09,7.799691273798748E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210310T070607_20210312T003332,2021-03-10,6.705929876995924E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210311T064712_20210313T000323,2021-03-11,5.837157276011176E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210312T062817_20210313T234336,2021-03-12,4.0786747984759856E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210313T075053_20210315T011146,2021-03-13,7.265375195936297E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210314T073158_20210316T004940,2021-03-14,5.9356346595655746E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210315T071303_20210317T003146,2021-03-15,7.306806556482463E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210316T065408_20210318T002410,2021-03-16,7.145828877404993E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210317T063513_20210318T234636,2021-03-17,6.711116115262769E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210318T075748_20210320T011454,2021-03-18,5.872464004182086E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210319T073854_20210321T005615,2021-03-19,6.771251745257419E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210320T071959_20210322T002625,2021-03-20,8.663351921763104E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210321T070104_20210323T003203,2021-03-21,6.056482957147526E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210322T064209_20210324T000646,2021-03-22,5.271184186201569E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210323T080444_20210325T005500,2021-03-23,5.169498626333996E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210324T074549_20210326T004956,2021-03-24,4.7653620529354225E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210325T072654_20210327T001540,2021-03-25,3.4905872570734965E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210326T070759_20210328T000350,2021-03-26,6.010166401825867E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210327T064904_20210328T235336,2021-03-27,6.555824372878531E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210328T063009_20210329T233242,2021-03-28,5.712377508589602E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210329T075245_20210331T012246,2021-03-29,3.6493060147643984E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210330T073350_20210401T011336,2021-03-30,6.542635619731613E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210331T071455_20210402T005026,2021-03-31,7.622441569293085E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210401T065559_20210403T002119,2021-04-01,6.154873051914351E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210402T063704_20210404T001110,2021-04-02,6.000310102386945E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210403T075939_20210405T005747,2021-04-03,6.6026978048998E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210404T074044_20210406T003341,2021-04-04,5.835973724915935E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210405T072149_20210407T003739,2021-04-05,6.454528590512516E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210406T070254_20210408T002731,2021-04-06,8.2689217510298E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210407T064358_20210409T000251,2021-04-07,6.334284290297588E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210408T080633_20210410T011130,2021-04-08,5.862152410414461E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210409T074738_20210411T010314,2021-04-09,7.200906473666451E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210410T072842_20210412T004456,2021-04-10,6.894835335656554E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210411T070947_20210413T004350,2021-04-11,4.891026610546149E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210412T065051_20210414T003351,2021-04-12,3.7832610096607186E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210415T073535_20210417T004626,2021-04-15,6.569560655703923E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210416T071639_20210418T002558,2021-04-16,6.705691782045954E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210417T065743_20210419T001424,2021-04-17,7.54598035585423E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210418T063847_20210419T234617,2021-04-18,6.825976477309747E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210419T080122_20210421T010410,2021-04-19,2.6698944451162504E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210421T072329_20210423T002122,2021-04-21,8.385931249065962E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210422T070433_20210424T001411,2021-04-22,5.594560054253131E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210423T064537_20210425T001106,2021-04-23,7.313830912692666E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210424T080811_20210426T010303,2021-04-24,4.3291907303262776E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210425T074915_20210427T010654,2021-04-25,5.036242342852565E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210426T073018_20210428T010100,2021-04-26,7.639319980432498E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210427T071122_20210429T003044,2021-04-27,8.483816689967894E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210428T065225_20210429T235428,2021-04-28,5.721756263988532E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210429T063328_20210430T235540,2021-04-29,5.772351291575013E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210430T075602_20210502T005741,2021-04-30,4.396813421236886E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210501T073705_20210503T003955,2021-05-01,3.1816530646823745E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210502T071808_20210504T002008,2021-05-02,3.592792661885861E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210503T065911_20210505T001700,2021-05-03,3.141501601015918E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210505T080246_20210507T014015,2021-05-05,3.5003747909124386E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210506T074349_20210508T010211,2021-05-06,4.726384561396605E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210507T072451_20210509T005411,2021-05-07,3.340647744826723E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210508T070554_20210510T001256,2021-05-08,3.560110174735677E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210509T064656_20210510T234029,2021-05-09,2.9544844713624888E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210510T080929_20210512T012058,2021-05-10,3.781580014916296E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210511T075031_20210513T010452,2021-05-11,3.36907407094665E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210512T073133_20210514T010918,2021-05-12,5.4765185570449755E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210513T071235_20210515T003404,2021-05-13,2.3089078143914796E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210514T065337_20210516T002327,2021-05-14,1.628990021318347E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210517T073812_20210519T003821,2021-05-17,2.337405188200831E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210518T071913_20210520T003803,2021-05-18,2.1911158822325186E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210519T070014_20210521T000008,2021-05-19,2.0406846410649252E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210520T064115_20210521T235617,2021-05-20,8.792530090287036E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210523T072548_20210525T004308,2021-05-23,1.763479420703573E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210524T070649_20210526T003326,2021-05-24,1.933385340700594E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210525T064750_20210526T234246,2021-05-25,2.108648831034282E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210526T081020_20210528T020227,2021-05-26,1.7752497091962135E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210527T075121_20210529T012457,2021-05-27,1.9436508305235673E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210528T073221_20210530T010639,2021-05-28,1.6626285266527214E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210529T071321_20210531T004306,2021-05-29,2.0428852076109355E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210530T065421_20210601T002319,2021-05-30,1.648367168377681E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210531T063521_20210601T235719,2021-05-31,1.6265925181430928E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210601T075751_20210603T012502,2021-06-01,2.2789821767643538E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210602T073850_20210604T005716,2021-06-02,2.9686672211599257E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210603T071950_20210605T005037,2021-06-03,1.409249206522917E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210604T070049_20210606T000245,2021-06-04,3.8541720660816635E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210605T064148_20210606T235526,2021-06-05,4.828009371661617E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210606T080418_20210608T012342,2021-06-06,2.791085836939275E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210607T074517_20210609T004541,2021-06-07,2.3492672173237977E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210608T072616_20210610T002027,2021-06-08,1.9319088476561654E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210617T075800_20210619T012209,2021-06-17,2.578556877322368E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210619T071956_20210621T001718,2021-06-19,7.65894504936561E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210620T070053_20210622T000150,2021-06-20,1.3181692980509393E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210621T064150_20210623T105641,2021-06-21,2.3638352381260415E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210622T080418_20210624T011910,2021-06-22,1.5287301903123328E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210624T072612_20210626T003848,2021-06-24,2.1956890618243774E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210625T070710_20210627T002055,2021-06-25,3.464631035768924E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210629T073230_20210701T004353,2021-06-29,3.913501310252231E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
